[ 17309.56640625],[ 17322.33398438],[ 17331.7421875],[ 17338.73242188],[ 17343.94726562],[ 17347.84960938],[ 17350.7734375],[ 17352.96484375],[ 17354.609375],[ 17355.84375]
[ 7840.34814453],[ 7827.00732422],[ 7818.71582031],[ 7813.47949219],[ 7810.13964844],[ 7807.99511719],[ 7806.61328125],[ 7805.72021484],[ 7805.14257812],[ 7804.76708984]
[ 14991.95019531],[ 14913.58398438],[ 14867.58691406],[ 14837.69921875],[ 14817.09960938],[ 14802.35546875],[ 14791.53125],[ 14783.44140625],[ 14777.31445312],[ 14772.62988281]
[ 17727.015625],[ 17837.83398438],[ 17956.57617188],[ 18072.84375],[ 18205.36914062],[ 18366.74023438],[ 18563.234375],[ 18802.5],[ 19093.84375],[ 19448.60546875]
[ 3709.87426758],[ 3656.99487305],[ 3627.07348633],[ 3610.89990234],[ 3602.53320312],[ 3598.33129883],[ 3596.25610352],[ 3595.24047852],[ 3594.74560547],[ 3594.50512695]
[ 11513.66015625],[ 11388.27148438],[ 11308.859375],[ 11257.79785156],[ 11224.68945312],[ 11203.1171875],[ 11189.01953125],[ 11179.79101562],[ 11173.7421875],[ 11169.77539062]
[ 15151.90527344],[ 15058.11816406],[ 14992.18847656],[ 14943.41210938],[ 14906.00195312],[ 14876.54101562],[ 14852.86914062],[ 14833.546875],[ 14817.57617188],[ 14804.24414062]
[ 5942.75634766],[ 5903.81689453],[ 5876.58496094],[ 5857.09619141],[ 5842.93994141],[ 5832.55566406],[ 5824.88623047],[ 5819.19580078],[ 5814.95996094],[ 5811.79931641]
[ 14426.50585938],[ 14265.56542969],[ 14155.61425781],[ 14078.60839844],[ 14023.75],[ 13984.20117188],[ 13955.44628906],[ 13934.41113281],[ 13918.95410156],[ 13907.55859375]
[ 8953.67773438],[ 8778.78808594],[ 8675.98925781],[ 8611.5234375],[ 8569.5234375],[ 8541.50097656],[ 8522.51367188],[ 8509.51660156],[ 8500.55859375],[ 8494.35449219]
[ 6948.21142578],[ 6789.83642578],[ 6698.7578125],[ 6642.25244141],[ 6605.62988281],[ 6581.24316406],[ 6564.71777344],[ 6553.38818359],[ 6545.56054688],[ 6540.12255859]
[ 13536.14746094],[ 13342.05859375],[ 13225.85742188],[ 13153.12792969],[ 13106.3671875],[ 13075.78808594],[ 13055.57421875],[ 13042.11425781],[ 13033.11035156],[ 13027.06738281]
[ 15678.55859375],[ 15535.44921875],[ 15430.45410156],[ 15350.86425781],[ 15289.12792969],[ 15240.44042969],[ 15201.56835938],[ 15170.24707031],[ 15144.83203125],[ 15124.09667969]
[ 7.97227621],[ 7.95856476],[ 7.95151329],[ 7.94781637],[ 7.94585848],[ 7.94481659],[ 7.94426012],[ 7.94396257],[ 7.94380331],[ 7.94371843]
[ 7600.38037109],[ 7562.19677734],[ 7536.47998047],[ 7518.53125],[ 7505.69628906],[ 7496.36328125],[ 7489.49365234],[ 7484.39355469],[ 7480.58203125],[ 7477.72021484]
[ 11227.13476562],[ 11060.9140625],[ 10967.57226562],[ 10909.58691406],[ 10871.56347656],[ 10845.81445312],[ 10828.01855469],[ 10815.55175781],[ 10806.73925781],[ 10800.46972656]
[ 4240.80322266],[ 4147.16894531],[ 4092.37695312],[ 4058.5769043],[ 4037.10351562],[ 4023.22192383],[ 4014.15234375],[ 4008.18676758],[ 4004.24584961],[ 4001.63525391]
[ 8774.38085938],[ 8741.16699219],[ 8707.78515625],[ 8674.70703125],[ 8642.42578125],[ 8611.42578125],[ 8582.14453125],[ 8554.94921875],[ 8530.10839844],[ 8507.78222656]
[ 7717.08496094],[ 6960.11181641],[ 6578.73486328],[ 6384.56152344],[ 6285.49462891],[ 6234.9453125],[ 6209.15722656],[ 6196.00341797],[ 6189.29541016],[ 6185.87304688]
[ 13063.78710938],[ 12879.74902344],[ 12777.46386719],[ 12715.81445312],[ 12676.98242188],[ 12651.88085938],[ 12635.39257812],[ 12624.45214844],[ 12617.14453125],[ 12612.2421875]
[ 14486.58691406],[ 14316.6796875],[ 14279.79492188],[ 14271.66894531],[ 14269.875],[ 14269.48046875],[ 14269.39257812],[ 14269.37304688],[ 14269.36816406],[ 14269.36621094]
[ 7103.54443359],[ 6931.36425781],[ 6845.39648438],[ 6799.15429688],[ 6773.39013672],[ 6758.7734375],[ 6750.39941406],[ 6745.57666016],[ 6742.78955078],[ 6741.17626953]
[ 7872.83984375],[ 7808.28125],[ 7781.54052734],[ 7769.76855469],[ 7764.46044922],[ 7762.04199219],[ 7760.93554688],[ 7760.42822266],[ 7760.19580078],[ 7760.08886719]
[ 8420.90234375],[ 8205.78027344],[ 8043.60107422],[ 7921.27734375],[ 7829.44042969],[ 7760.93359375],[ 7710.16064453],[ 7672.74902344],[ 7645.31396484],[ 7625.27197266]
[ 8714.14453125],[ 8577.67382812],[ 8504.49609375],[ 8461.19140625],[ 8434.27148438],[ 8417.06933594],[ 8405.89453125],[ 8398.56054688],[ 8393.71679688],[ 8390.50390625]
[ 7681.39306641],[ 7712.44677734],[ 7741.71191406],[ 7772.43994141],[ 7804.70410156],[ 7838.58105469],[ 7874.15087891],[ 7911.49902344],[ 7950.71435547],[ 7991.89013672]
[ 13089.63671875],[ 13058.26953125],[ 13035.54882812],[ 13018.72363281],[ 13006.06347656],[ 12996.42480469],[ 12989.02148438],[ 12983.29492188],[ 12978.84375],[ 12975.36914062]
[ 8618.57324219],[ 8466.89160156],[ 8380.24804688],[ 8327.47070312],[ 8294.125],[ 8272.58496094],[ 8258.47363281],[ 8249.14648438],[ 8242.9453125],[ 8238.80566406]
[ 6595.35546875],[ 6637.63916016],[ 6670.65478516],[ 6695.34130859],[ 6713.21240234],[ 6725.85107422],[ 6734.64355469],[ 6740.69091797],[ 6744.81738281],[ 6747.88574219]
[ 4518.578125],[ 4491.72753906],[ 4475.1640625],[ 4464.61132812],[ 4457.76855469],[ 4453.28613281],[ 4450.33154297],[ 4448.37695312],[ 4447.08056641],[ 4446.21972656]
[ 13595.68457031],[ 13622.09472656],[ 13642.04394531],[ 13656.99121094],[ 13668.12304688],[ 13676.37695312],[ 13682.47753906],[ 13686.97460938],[ 13690.28320312],[ 13692.71386719]
[ 6337.04248047],[ 6265.86962891],[ 6225.18164062],[ 6200.16455078],[ 6184.12158203],[ 6173.56298828],[ 6166.49804688],[ 6161.71923828],[ 6158.46337891],[ 6156.234375]
[ 7044.73583984],[ 6998.95654297],[ 6988.24414062],[ 6985.78662109],[ 6985.22558594],[ 6985.09716797],[ 6985.06835938],[ 6985.06152344],[ 6985.06005859],[ 6985.06005859]
[ 10030.71582031],[ 9933.88867188],[ 9858.92578125],[ 9799.23242188],[ 9750.71582031],[ 9710.67871094],[ 9677.25585938],[ 9649.10351562],[ 9625.22460938],[ 9604.85742188]
[ 9343.14355469],[ 9225.44433594],[ 9149.32910156],[ 9097.37304688],[ 9060.89648438],[ 9034.88671875],[ 9016.17480469],[ 9002.64257812],[ 8992.82421875],[ 8985.68457031]
[ 115.01031494],[ 107.18289948],[ 102.30363464],[ 98.95274353],[ 96.50785065],[ 94.64929962],[ 93.19441986],[ 92.03038788],[ 91.08335114],[ 90.30267334]
[ 294.61495972],[ 297.13568115],[ 297.8944397],[ 298.12304688],[ 298.19195557],[ 298.21273804],[ 298.21896362],[ 298.22088623],[ 298.22143555],[ 298.22161865]
[ 6942.15820312],[ 6955.05712891],[ 6966.45214844],[ 6976.48046875],[ 6985.27685547],[ 6992.97021484],[ 6999.68164062],[ 7005.52392578],[ 7010.59960938],[ 7015.00244141]
[ 9021.11914062],[ 8773.42773438],[ 8640.75683594],[ 8562.53027344],[ 8514.05175781],[ 8483.14453125],[ 8463.09765625],[ 8449.95507812],[ 8441.27929688],[ 8435.52636719]
[ 10713.63085938],[ 10355.74804688],[ 10172.73144531],[ 10081.51855469],[ 10036.74609375],[ 10014.94824219],[ 10004.37890625],[ 9999.265625],[ 9996.79296875],[ 9995.59960938]
[ 17570.81640625],[ 17439.31054688],[ 17359.4453125],[ 17307.6328125],[ 17272.61523438],[ 17248.30664062],[ 17231.12109375],[ 17218.81640625],[ 17209.92578125],[ 17203.4609375]
[ 9478.63769531],[ 9414.42871094],[ 9375.65917969],[ 9350.41015625],[ 9333.22167969],[ 9321.18945312],[ 9312.60742188],[ 9306.40820312],[ 9301.890625],[ 9298.57617188]
[ 3649.59545898],[ 3630.71069336],[ 3617.43481445],[ 3607.77685547],[ 3600.58032227],[ 3595.12426758],[ 3590.93432617],[ 3587.68530273],[ 3585.1472168],[ 3583.15307617]
[ 6995.23876953],[ 6943.35693359],[ 6904.54394531],[ 6874.22167969],[ 6849.77978516],[ 6829.62011719],[ 6812.70703125],[ 6798.33740234],[ 6786.01269531],[ 6775.36669922]
[ 8486.69628906],[ 8679.46972656],[ 8673.24121094],[ 8673.43164062],[ 8673.42578125],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781],[ 8673.42675781]
[ 8682.58496094],[ 8513.21777344],[ 8400.96484375],[ 8322.27734375],[ 8265.24121094],[ 8223.03515625],[ 8191.39306641],[ 8167.47021484],[ 8149.28173828],[ 8135.40087891]
[ 10832.70996094],[ 10684.92285156],[ 10629.11132812],[ 10607.17675781],[ 10598.43945312],[ 10594.94140625],[ 10593.53710938],[ 10592.97363281],[ 10592.74707031],[ 10592.65625]
[ 4901.49462891],[ 4858.43457031],[ 4828.11621094],[ 4806.50488281],[ 4790.97460938],[ 4779.75439453],[ 4771.61669922],[ 4765.69970703],[ 4761.38916016],[ 4758.24511719]
[ 10520.75585938],[ 10399.33789062],[ 10342.90234375],[ 10315.97070312],[ 10302.96386719],[ 10296.64453125],[ 10293.56738281],[ 10292.06738281],[ 10291.33496094],[ 10290.97753906]
[ 6268.69140625],[ 6225.86669922],[ 6210.13867188],[ 6204.08740234],[ 6201.72119141],[ 6200.79003906],[ 6200.42285156],[ 6200.27832031],[ 6200.22119141],[ 6200.19824219]
[ 16208.27246094],[ 16125.51855469],[ 16091.60742188],[ 16077.37695312],[ 16071.34863281],[ 16068.78613281],[ 16067.6953125],[ 16067.23046875],[ 16067.03222656],[ 16066.94726562]
[ 11380.75],[ 11246.90429688],[ 11167.69238281],[ 11116.89160156],[ 11082.76855469],[ 11059.171875],[ 11042.53808594],[ 11030.65722656],[ 11022.09179688],[ 11015.87792969]
[ 16080.68261719],[ 15972.40820312],[ 15892.51855469],[ 15831.49707031],[ 15783.69921875],[ 15745.54296875],[ 15714.63769531],[ 15689.31640625],[ 15668.37890625],[ 15650.9375]
[ 4610.86425781],[ 4522.65722656],[ 4464.02148438],[ 4421.49316406],[ 4388.859375],[ 4362.82275391],[ 4341.45410156],[ 4323.54101562],[ 4308.27734375],[ 4295.10302734]
[ 9337.89453125],[ 9158.72363281],[ 9042.48242188],[ 8965.45507812],[ 8913.93457031],[ 8879.34960938],[ 8856.10839844],[ 8840.49023438],[ 8829.99707031],[ 8822.95019531]
[ 8237.74121094],[ 8140.54101562],[ 8087.06933594],[ 8054.05126953],[ 8032.39892578],[ 8017.68994141],[ 8007.47460938],[ 8000.27734375],[ 7995.15625],[ 7991.48730469]
[ 6170.58691406],[ 6119.84619141],[ 6097.81494141],[ 6087.70410156],[ 6082.953125],[ 6080.69677734],[ 6079.61962891],[ 6079.10449219],[ 6078.85742188],[ 6078.73925781]
[ 5461.16992188],[ 5306.80273438],[ 5210.38867188],[ 5145.67236328],[ 5100.26171875],[ 5067.45068359],[ 5043.25878906],[ 5025.16308594],[ 5011.48486328],[ 5001.06494141]
[ 9194.07617188],[ 9179.12988281],[ 9167.81933594],[ 9159.21875],[ 9152.65527344],[ 9147.6328125],[ 9143.78125],[ 9140.82324219],[ 9138.54785156],[ 9136.79589844]
[ 14892.23828125],[ 14515.27148438],[ 14298.40136719],[ 14166.34667969],[ 14083.42871094],[ 14030.4296875],[ 13996.1875],[ 13973.91601562],[ 13959.36914062],[ 13949.84082031]
[ 5834.97167969],[ 5774.67333984],[ 5743.16796875],[ 5724.765625],[ 5713.45996094],[ 5706.33740234],[ 5701.79003906],[ 5698.86425781],[ 5696.97314453],[ 5695.74755859]
[ 8766.32421875],[ 8719.21191406],[ 8705.0546875],[ 8700.75488281],[ 8699.44628906],[ 8699.04785156],[ 8698.92578125],[ 8698.88867188],[ 8698.87792969],[ 8698.875]
[ 14315.79199219],[ 14192.15527344],[ 14162.45507812],[ 14155.07519531],[ 14153.2265625],[ 14152.76269531],[ 14152.64550781],[ 14152.6171875],[ 14152.609375],[ 14152.60742188]
[ 4626.61572266],[ 4602.19042969],[ 4579.08496094],[ 4557.16992188],[ 4536.35205078],[ 4516.56591797],[ 4497.76855469],[ 4479.93505859],[ 4463.05273438],[ 4447.11669922]
[ 9327.42382812],[ 9171.41796875],[ 9084.12890625],[ 9031.95703125],[ 8999.64257812],[ 8979.20800781],[ 8966.12402344],[ 8957.6796875],[ 8952.203125],[ 8948.63964844]
[ 10964.35449219],[ 10918.89941406],[ 10882.90429688],[ 10854.40429688],[ 10831.89941406],[ 10814.19628906],[ 10800.32910156],[ 10789.51074219],[ 10781.10058594],[ 10774.58496094]
[ 5025.33300781],[ 5009.88037109],[ 4999.50683594],[ 4992.39208984],[ 4987.44238281],[ 4983.96435547],[ 4981.50390625],[ 4979.75488281],[ 4978.5078125],[ 4977.61621094]
[ 10373.17578125],[ 10221.83007812],[ 10141.76464844],[ 10095.984375],[ 10068.73242188],[ 10052.140625],[ 10041.90625],[ 10035.54394531],[ 10031.56933594],[ 10029.07910156]
[ 5080.36962891],[ 5050.65380859],[ 5046.56347656],[ 5046.01123047],[ 5045.93701172],[ 5045.92724609],[ 5045.92578125],[ 5045.92578125],[ 5045.92578125],[ 5045.92578125]
[ 7526.40966797],[ 7459.49707031],[ 7414.00830078],[ 7382.36132812],[ 7360.00146484],[ 7344.03564453],[ 7332.55224609],[ 7324.25],[ 7318.22558594],[ 7313.84277344]
[ 10794.25292969],[ 10789.73828125],[ 10785.56738281],[ 10781.71191406],[ 10778.14550781],[ 10774.84375],[ 10771.78613281],[ 10768.95410156],[ 10766.328125],[ 10763.89257812]
[ 8809.52636719],[ 8775.04394531],[ 8749.34082031],[ 8729.890625],[ 8715.00878906],[ 8703.52734375],[ 8694.61230469],[ 8687.65625],[ 8682.20800781],[ 8677.92871094]
[ 18071.14453125],[ 17593.12304688],[ 17459.86523438],[ 17421.06054688],[ 17409.62890625],[ 17406.24804688],[ 17405.24804688],[ 17404.953125],[ 17404.86523438],[ 17404.83789062]
[ 3739.72460938],[ 3449.03100586],[ 3283.02734375],[ 3185.13671875],[ 3126.43725586],[ 3090.91308594],[ 3069.30053711],[ 3056.11083984],[ 3048.046875],[ 3043.11108398]
[ 15216.08984375],[ 15109.375],[ 15039.296875],[ 14992.375],[ 14960.55273438],[ 14938.78613281],[ 14923.81054688],[ 14913.46679688],[ 14906.30273438],[ 14901.33007812]
[ 9306.59472656],[ 9304.11621094],[ 9302.42089844],[ 9301.25488281],[ 9300.45117188],[ 9299.89550781],[ 9299.51171875],[ 9299.24511719],[ 9299.06054688],[ 9298.93261719]
[ 8395.30371094],[ 8375.13671875],[ 8360.85644531],[ 8350.66113281],[ 8343.33984375],[ 8338.06054688],[ 8334.2421875],[ 8331.47460938],[ 8329.46484375],[ 8328.00390625]
[ 14666.55371094],[ 14597.51269531],[ 14546.80664062],[ 14508.62890625],[ 14479.3515625],[ 14456.5859375],[ 14438.69433594],[ 14424.51660156],[ 14413.20898438],[ 14404.14257812]
[ 8397.95507812],[ 8340.30957031],[ 8329.70214844],[ 8327.73339844],[ 8327.3671875],[ 8327.29882812],[ 8327.28710938],[ 8327.28417969],[ 8327.28417969],[ 8327.28417969]
[ 18127.16015625],[ 18014.10351562],[ 17934.3203125],[ 17875.81835938],[ 17831.7578125],[ 17797.92578125],[ 17771.57421875],[ 17750.82617188],[ 17734.3515625],[ 17721.18554688]
[ 7645.47753906],[ 7612.03955078],[ 7598.86376953],[ 7593.79248047],[ 7591.86914062],[ 7591.14501953],[ 7590.87255859],[ 7590.77001953],[ 7590.73193359],[ 7590.71728516]
[ 7473.19091797],[ 7477.70166016],[ 7480.53466797],[ 7482.31396484],[ 7483.43164062],[ 7484.13378906],[ 7484.57470703],[ 7484.85107422],[ 7485.02539062],[ 7485.13476562]
[ 4071.05444336],[ 4067.67504883],[ 4066.00073242],[ 4065.16357422],[ 4064.7434082],[ 4064.53198242],[ 4064.42553711],[ 4064.37182617],[ 4064.34472656],[ 4064.33105469]
[ 9432.17675781],[ 9454.7265625],[ 9456.375],[ 9456.49609375],[ 9456.50488281],[ 9456.50488281],[ 9456.50488281],[ 9456.50488281],[ 9456.50488281],[ 9456.50488281]
[ 4682.65771484],[ 4688.45019531],[ 4691.91259766],[ 4693.97314453],[ 4695.1953125],[ 4695.91845703],[ 4696.34619141],[ 4696.59863281],[ 4696.74707031],[ 4696.83496094]
[ 8839.21875],[ 8555.72070312],[ 8485.74414062],[ 8468.42089844],[ 8464.12890625],[ 8463.06640625],[ 8462.80273438],[ 8462.73730469],[ 8462.72167969],[ 8462.71777344]
[ 7289.29589844],[ 7258.38671875],[ 7237.83642578],[ 7223.84277344],[ 7214.24511719],[ 7207.66162109],[ 7203.15576172],[ 7200.08007812],[ 7197.98632812],[ 7196.56347656]
[ 10507.04980469],[ 10496.45410156],[ 10495.44824219],[ 10495.35253906],[ 10495.34472656],[ 10495.34375],[ 10495.34375],[ 10495.34375],[ 10495.34375],[ 10495.34375]
[ 3881.07299805],[ 3836.46069336],[ 3811.91821289],[ 3797.90600586],[ 3789.74584961],[ 3784.94116211],[ 3782.09423828],[ 3780.40112305],[ 3779.39208984],[ 3778.78955078]
[ 8880.43261719],[ 8793.921875],[ 8747.61035156],[ 8721.35449219],[ 8706.09667969],[ 8697.12597656],[ 8691.8203125],[ 8688.671875],[ 8686.80078125],[ 8685.6875]
[ 5685.19580078],[ 5624.68115234],[ 5585.70214844],[ 5559.52880859],[ 5541.47363281],[ 5528.79052734],[ 5519.76904297],[ 5513.29638672],[ 5508.62304688],[ 5505.23486328]
[ 7022.40576172],[ 6941.43896484],[ 6901.14013672],[ 6880.88916016],[ 6870.76220703],[ 6865.72363281],[ 6863.22412109],[ 6861.98632812],[ 6861.37451172],[ 6861.07177734]
[ 4941.33984375],[ 4874.05175781],[ 4837.40625],[ 4816.54980469],[ 4804.41796875],[ 4797.27929688],[ 4793.05273438],[ 4790.54101562],[ 4789.04541016],[ 4788.15380859]
[ 12225.14257812],[ 12109.03710938],[ 12045.35351562],[ 12008.73339844],[ 11987.13671875],[ 11974.21582031],[ 11966.42089844],[ 11961.6953125],[ 11958.82226562],[ 11957.07128906]
[ 5640.71728516],[ 5557.50439453],[ 5501.0703125],[ 5461.52490234],[ 5433.22509766],[ 5412.68945312],[ 5397.64648438],[ 5386.55371094],[ 5378.33544922],[ 5372.22705078]
[ 12259.86230469],[ 12186.90332031],[ 12140.15917969],[ 12109.03320312],[ 12087.79199219],[ 12073.06054688],[ 12062.73046875],[ 12055.43164062],[ 12050.24609375],[ 12046.54882812]
[ 8505.859375],[ 8415.15527344],[ 8356.30078125],[ 8317.33984375],[ 8291.234375],[ 8273.61035156],[ 8261.65527344],[ 8253.51953125],[ 8247.97167969],[ 8244.18359375]
[ 8437.875],[ 8399.85644531],[ 8370.94433594],[ 8348.70800781],[ 8331.45898438],[ 8317.99121094],[ 8307.42089844],[ 8299.09082031],[ 8292.50585938],[ 8287.28710938]
[ 26.],[ 26.],[ 26.],[ 26.],[ 26.],[ 26.],[ 26.],[ 26.],[ 26.],[ 26.]
[ 7365.47167969],[ 7345.98388672],[ 7328.98876953],[ 7314.17626953],[ 7301.35888672],[ 7290.40136719],[ 7281.17333984],[ 7273.52832031],[ 7267.296875],[ 7262.29589844]
[ 8440.35839844],[ 8448.78222656],[ 8457.3515625],[ 8466.06738281],[ 8474.93066406],[ 8483.94238281],[ 8493.1015625],[ 8502.40820312],[ 8511.86132812],[ 8521.45996094]
[ 0.],[ 0.],[ 0.],[ 0.],[ 0.],[ 0.],[ 0.],[ 0.],[ 0.],[ 0.]
[ 17056.19921875],[ 16986.28320312],[ 16926.73632812],[ 16875.5703125],[ 16831.359375],[ 16793.02734375],[ 16759.73828125],[ 16730.81445312],[ 16705.69140625],[ 16683.88671875]
[ 9623.6328125],[ 9565.49804688],[ 9526.76757812],[ 9500.07421875],[ 9481.25488281],[ 9467.77832031],[ 9458.02148438],[ 9450.90234375],[ 9445.67675781],[ 9441.82714844]
[ 9455.40429688],[ 9317.47265625],[ 9237.56640625],[ 9189.7421875],[ 9160.57226562],[ 9142.57714844],[ 9131.39941406],[ 9124.42773438],[ 9120.06640625],[ 9117.33496094]
[ 5641.78369141],[ 5608.94921875],[ 5592.28222656],[ 5583.68359375],[ 5579.21044922],[ 5576.87304688],[ 5575.64892578],[ 5575.0078125],[ 5574.67138672],[ 5574.49462891]
[ 6296.87158203],[ 6176.72412109],[ 6104.20947266],[ 6061.40478516],[ 6036.57324219],[ 6022.33837891],[ 6014.23876953],[ 6009.65039062],[ 6007.05810547],[ 6005.59521484]
[ 7818.68017578],[ 7734.02099609],[ 7681.40917969],[ 7647.56982422],[ 7625.35595703],[ 7610.58837891],[ 7600.69140625],[ 7594.02392578],[ 7589.51611328],[ 7586.46142578]
[ 13155.22167969],[ 12885.42089844],[ 12698.96386719],[ 12573.03222656],[ 12489.82421875],[ 12435.80761719],[ 12401.19335938],[ 12379.20800781],[ 12365.32714844],[ 12356.59667969]
[ 6015.76855469],[ 5960.33837891],[ 5929.10498047],[ 5910.94726562],[ 5900.20263672],[ 5893.77978516],[ 5889.91650391],[ 5887.58496094],[ 5886.17431641],[ 5885.31982422]
[ 5882.58837891],[ 5850.90820312],[ 5838.04394531],[ 5832.73388672],[ 5830.52832031],[ 5829.609375],[ 5829.22607422],[ 5829.06640625],[ 5829.],[ 5828.97216797]
[ 8552.74316406],[ 8425.75683594],[ 8356.84960938],[ 8317.12597656],[ 8293.46289062],[ 8279.09765625],[ 8270.27832031],[ 8264.82714844],[ 8261.44335938],[ 8259.33789062]
[ 4134.44189453],[ 4112.93554688],[ 4098.57568359],[ 4088.78735352],[ 4082.0234375],[ 4077.30566406],[ 4073.99462891],[ 4071.66040039],[ 4070.00976562],[ 4068.83984375]
[ 6609.18994141],[ 6458.51367188],[ 6350.79882812],[ 6271.55615234],[ 6212.11474609],[ 6166.91845703],[ 6132.22070312],[ 6105.39648438],[ 6084.55273438],[ 6068.29345703]
[ 6047.51660156],[ 5978.50830078],[ 5930.26757812],[ 5895.28271484],[ 5869.29296875],[ 5849.66650391],[ 5834.67626953],[ 5823.13330078],[ 5814.19238281],[ 5807.23681641]
[ 4831.84912109],[ 4832.50439453],[ 4832.53515625],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281]
[ 12266.48535156],[ 11952.78710938],[ 11779.57421875],[ 11683.43652344],[ 11629.99804688],[ 11600.28417969],[ 11583.76367188],[ 11574.578125],[ 11569.47167969],[ 11566.6328125]
[ 6641.16552734],[ 6680.95898438],[ 6720.9765625],[ 6761.28710938],[ 6803.03808594],[ 6846.28125],[ 6891.06982422],[ 6937.45947266],[ 6985.50634766],[ 7035.27099609]
